Source:,,,,,,
,,,,,,
Date:,7/15/2022 15:58,,,,,
,,,,,,
Tool:,Eeschema (6.0.1),,,,,
,,,,,,
Generator:,,,,,,
,,,,,,
Component Count:,17,,,,,
,,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
,,,,,,
"C1, C2, ",2,C,C,Capacitor_THT:CP_Radial_D4.0mm_P1.50mm,Unpolarized capacitor,
,,,,,,
"D1, D2, D3, D4, ",4,LED,LED,LED_THT:LED_D5.0mm,Light emitting diode,
,,,,,,
"J1, ",1,Barrel_Jack,Barrel_Jack,Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal,DC Barrel Jack,
,,,,,,
"M1, ",1,Motor_Servo,Motor_Servo,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,"Servo Motor (Futaba, HiTec, JR connector)",
,,,,,,
"R3, R4, R5, R6, ",4,220,R_US,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,"Resistor, US symbol",
,,,,,,
"R7, ",1,LDR03,LDR03,OptoDevice:R_LDR_10x8.5mm_P7.6mm_Vertical,light dependent resistor,
,,,,,,
"RV1, ",1,10K,R_Potentiometer_Trim_US,Potentiometer_THT:Potentiometer_Piher_PT-10-V05_Vertical,"Trim-potentiometer, US symbol",
,,,,,,
"SW1, ",1,SW_SPST,SW_SPST,custom-footprints:piano-slide-switchx3,Single Pole Single Throw (SPST) switch,
,,,,,,
"U1, ",1,LM7805_TO220,LM7805_TO220,Package_TO_SOT_THT:TO-220-3_Vertical,"Positive 1A 35V Linear Regulator, Fixed Output 5V, TO-220",
,,,,,,
"U2, ",1,ESP8266-Generic,ESP8266-Generic,,,
